date,id,code,mxn,usd,eur,rub,gel,gbp,jpy,aud,aed
2024-05-07,5,rub,0.18511171,0.010969645,0.010183136,1.0,0.029341309,0.008731158,1.69173072,0.01652851,0.04028602
2024-05-08,1,mxn,1.0,0.05912351,0.055009802,5.39557418,0.15838616,0.047313503,9.15829559,0.089824765,0.21713109
2024-05-08,2,usd,16.91374539,1.0,0.93042178,91.25936785,2.67890318,0.80024855,154.9010798,1.5192732,3.6725
2024-05-08,3,eur,18.17857845,1.07478137,1.0,98.08386846,2.87923523,0.86009223,166.4847948,1.63288653,3.94713458
2024-05-08,4,gel,6.31368298,0.3732871,0.34731445,34.06594483,1.0,0.29872246,57.82257494,0.56712509,1.37089688
2024-05-08,5,rub,0.18533709,0.010957779,0.010195356,1.0,0.029354829,0.008768947,1.69737182,0.01664786,0.040242444
2024-05-09,1,mxn,1.0,0.059080213,0.054987559,5.38462681,0.15815238,0.047296344,9.19209199,0.089876719,0.21697208
2024-05-09,2,usd,16.92614068,1.0,0.93072716,91.14095085,2.67690945,0.80054457,155.5866422,1.52126598,3.6725
2024-05-09,3,eur,18.18593183,1.07442873,1.0,97.92445603,2.87614842,0.86012808,167.1667583,1.63449188,3.94583951
2024-05-09,4,gel,6.32301578,0.37356512,0.3476872,34.04708028,1.0,0.29905553,58.12174272,0.56829191,1.3719179
2024-05-09,5,rub,0.18571389,0.010972016,0.010211954,1.0,0.029371094,0.008783588,1.70709918,0.016691355,0.04029473
2024-05-10,1,mxn,1.0,0.059547739,0.055241079,5.47238939,0.15940584,0.047556722,9.26098688,0.090021026,0.21868907
2024-05-10,2,usd,16.79324887,1.0,0.92767719,91.89919692,2.67694197,0.79863187,155.5220575,1.51174549,3.6725
2024-05-10,3,eur,18.10247045,1.07796118,1.0,99.06376718,2.88563953,0.86089415,167.6467413,1.62960295,3.95881245
2024-05-10,4,gel,6.27329583,0.37356058,0.34654363,34.32991753,1.0,0.29833738,58.09691038,0.56472852,1.37190124
2024-05-10,5,rub,0.18273553,0.010881488,0.010094508,1.0,0.029129112,0.008690303,1.69231139,0.01645004,0.039962264
2024-05-11,1,mxn,1.0,0.059610566,0.055324377,5.49535795,0.15907335,0.047593665,9.28550849,0.090021353,0.21891981
2024-05-11,2,usd,16.77554938,1.0,0.92809682,92.18764867,2.66854285,0.79840988,155.7695062,1.51015765,3.6725
2024-05-11,3,eur,18.07521483,1.07747379,1.0,99.32977551,2.87528499,0.86026572,167.8375607,1.62715529,3.95702251
2024-05-11,4,gel,6.28640809,0.37473635,0.34779161,34.54606266,1.0,0.2991932,58.37249566,0.56591096,1.37621923
2024-05-11,5,rub,0.18197177,0.01084744,0.010067475,1.0,0.028946859,0.008660703,1.68970039,0.016381345,0.039837224
2024-05-12,1,mxn,1.0,0.05959737,0.055294623,5.48991998,0.15945276,0.047590768,9.2830346,0.090179169,0.21887134
2024-05-12,2,usd,16.77926384,1.0,0.92780307,92.11681573,2.67549992,0.79853804,155.7624867,1.51314007,3.6725
